checkpoint,trial_type,trial_id,selected_freqs,train_pre_loss,train_pre_acc,train_post_loss,train_post_acc,test_pre_loss,test_pre_acc,test_post_loss,test_post_acc,delta_train_loss,delta_train_acc,delta_test_loss,delta_test_acc
pre,random_k,66.0,"(56, 11, 33)",4.748631000518799,0.009921670891344547,4.748531818389893,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747066974639893,0.008390200324356556,-9.918212890625e-05,0.0,3.337860107421875e-06,0.0
pre,random_k,67.0,"(56, 25, 18)",4.748631000518799,0.009921670891344547,4.748689651489258,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747031211853027,0.008390200324356556,5.8650970458984375e-05,0.0,-3.24249267578125e-05,0.0
pre,random_k,68.0,"(14, 31, 33)",4.748631000518799,0.009921670891344547,4.748659610748291,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747006416320801,0.008390200324356556,2.86102294921875e-05,0.0,-5.7220458984375e-05,0.0
pre,random_k,69.0,"(40, 32, 26)",4.748631000518799,0.009921670891344547,4.748615264892578,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747044563293457,0.008390200324356556,-1.5735626220703125e-05,0.0,-1.9073486328125e-05,0.0
pre,random_k,70.0,"(21, 18, 4)",4.748631000518799,0.009921670891344547,4.7486395835876465,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747025012969971,0.008390200324356556,8.58306884765625e-06,0.0,-3.8623809814453125e-05,0.0
pre,random_k,71.0,"(1, 4, 7)",4.748631000518799,0.009921670891344547,4.748662948608398,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747032642364502,0.008390200324356556,3.1948089599609375e-05,0.0,-3.0994415283203125e-05,0.0
pre,random_k,72.0,"(48, 42, 13)",4.748631000518799,0.009921670891344547,4.748607158660889,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747058391571045,0.008390200324356556,-2.384185791015625e-05,0.0,-5.245208740234375e-06,0.0
pre,random_k,73.0,"(38, 45, 53)",4.748631000518799,0.009921670891344547,4.748795986175537,0.009921670891344547,4.747063636779785,0.008390200324356556,4.7469801902771,0.008390200324356556,0.00016498565673828125,0.0,-8.344650268554688e-05,0.0
pre,random_k,74.0,"(15, 53, 54)",4.748631000518799,0.009921670891344547,4.748626232147217,0.009921670891344547,4.747063636779785,0.008390200324356556,4.74705171585083,0.008390200324356556,-4.76837158203125e-06,0.0,-1.1920928955078125e-05,0.0
pre,random_k,75.0,"(28, 30, 48)",4.748631000518799,0.009921670891344547,4.748631477355957,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747041702270508,0.008390200324356556,4.76837158203125e-07,0.0,-2.193450927734375e-05,0.0
pre,random_k,76.0,"(20, 44, 52)",4.748631000518799,0.009921670891344547,4.748750686645508,0.009921670891344547,4.747063636779785,0.008390200324356556,4.74700403213501,0.008390200324356556,0.00011968612670898438,0.0,-5.9604644775390625e-05,0.0
pre,random_k,77.0,"(13, 26, 50)",4.748631000518799,0.009921670891344547,4.74868631362915,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747009754180908,0.008390200324356556,5.53131103515625e-05,0.0,-5.3882598876953125e-05,0.0
pre,random_k,78.0,"(8, 39, 1)",4.748631000518799,0.009921670891344547,4.7487664222717285,0.009921670891344547,4.747063636779785,0.008390200324356556,4.746984004974365,0.008390200324356556,0.0001354217529296875,0.0,-7.963180541992188e-05,0.0
pre,random_k,79.0,"(34, 20, 8)",4.748631000518799,0.009921670891344547,4.748767852783203,0.009921670891344547,4.747063636779785,0.008390200324356556,4.7470011711120605,0.008390200324356556,0.00013685226440429688,0.0,-6.246566772460938e-05,0.0
pre,random_k,80.0,"(21, 7, 46)",4.748631000518799,0.009921670891344547,4.748469352722168,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747105598449707,0.008390200324356556,-0.00016164779663085938,0.0,4.1961669921875e-05,0.0
pre,random_k,81.0,"(14, 17, 8)",4.748631000518799,0.009921670891344547,4.7487006187438965,0.009921670891344547,4.747063636779785,0.008390200324356556,4.7470221519470215,0.008390200324356556,6.961822509765625e-05,0.0,-4.1484832763671875e-05,0.0
pre,random_k,82.0,"(53, 32, 31)",4.748631000518799,0.009921670891344547,4.748722553253174,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747000694274902,0.008390200324356556,9.1552734375e-05,0.0,-6.29425048828125e-05,0.0
pre,random_k,83.0,"(33, 45, 30)",4.748631000518799,0.009921670891344547,4.748617649078369,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747037410736084,0.008390200324356556,-1.33514404296875e-05,0.0,-2.6226043701171875e-05,0.0
pre,random_k,84.0,"(8, 44, 13)",4.748631000518799,0.009921670891344547,4.748733043670654,0.009921670891344547,4.747063636779785,0.008390200324356556,4.7470011711120605,0.008390200324356556,0.00010204315185546875,0.0,-6.246566772460938e-05,0.0
pre,random_k,85.0,"(48, 54, 23)",4.748631000518799,0.009921670891344547,4.748612403869629,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747042179107666,0.008390200324356556,-1.8596649169921875e-05,0.0,-2.1457672119140625e-05,0.0
pre,random_k,86.0,"(39, 20, 29)",4.748631000518799,0.009921670891344547,4.74876070022583,0.009921670891344547,4.747063636779785,0.008390200324356556,4.746993541717529,0.008390200324356556,0.00012969970703125,0.0,-7.009506225585938e-05,0.0
pre,random_k,87.0,"(26, 55, 6)",4.748631000518799,0.009921670891344547,4.7486701011657715,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747031211853027,0.008390200324356556,3.910064697265625e-05,0.0,-3.24249267578125e-05,0.0
pre,random_k,88.0,"(11, 39, 46)",4.748631000518799,0.009921670891344547,4.748598575592041,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747032642364502,0.008390200324356556,-3.24249267578125e-05,0.0,-3.0994415283203125e-05,0.0
pre,random_k,89.0,"(36, 11, 45)",4.748631000518799,0.009921670891344547,4.748661041259766,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747006416320801,0.008390200324356556,3.0040740966796875e-05,0.0,-5.7220458984375e-05,0.0
pre,random_k,90.0,"(17, 4, 47)",4.748631000518799,0.009921670891344547,4.748656749725342,0.009921670891344547,4.747063636779785,0.008390200324356556,4.7470479011535645,0.008390200324356556,2.574920654296875e-05,0.0,-1.5735626220703125e-05,0.0
pre,random_k,91.0,"(45, 18, 41)",4.748631000518799,0.009921670891344547,4.748758316040039,0.009921670891344547,4.747063636779785,0.008390200324356556,4.746989727020264,0.008390200324356556,0.00012731552124023438,0.0,-7.390975952148438e-05,0.0
pre,random_k,92.0,"(55, 23, 25)",4.748631000518799,0.009921670891344547,4.748619079589844,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747055530548096,0.008390200324356556,-1.1920928955078125e-05,0.0,-8.106231689453125e-06,0.0
pre,random_k,93.0,"(36, 22, 28)",4.748631000518799,0.009921670891344547,4.7485671043396,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747054576873779,0.008390200324356556,-6.389617919921875e-05,0.0,-9.059906005859375e-06,0.0
pre,random_k,94.0,"(42, 33, 13)",4.748631000518799,0.009921670891344547,4.748518943786621,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747085094451904,0.008390200324356556,-0.00011205673217773438,0.0,2.1457672119140625e-05,0.0
pre,random_k,95.0,"(18, 28, 50)",4.748631000518799,0.009921670891344547,4.748727798461914,0.009921670891344547,4.747063636779785,0.008390200324356556,4.746997833251953,0.008390200324356556,9.679794311523438e-05,0.0,-6.580352783203125e-05,0.0
pre,random_k,96.0,"(6, 51, 14)",4.748631000518799,0.009921670891344547,4.748744487762451,0.009921670891344547,4.747063636779785,0.008390200324356556,4.7469987869262695,0.008390200324356556,0.00011348724365234375,0.0,-6.4849853515625e-05,0.0
pre,random_k,97.0,"(16, 1, 55)",4.748631000518799,0.009921670891344547,4.748697757720947,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747020721435547,0.008390200324356556,6.67572021484375e-05,0.0,-4.291534423828125e-05,0.0
pre,random_k,98.0,"(42, 45, 52)",4.748631000518799,0.009921670891344547,4.748655796051025,0.009921670891344547,4.747063636779785,0.008390200324356556,4.747039318084717,0.008390200324356556,2.47955322265625e-05,0.0,-2.4318695068359375e-05,0.0
